Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	10:25:58	10:25:58	10:25:58			10:25:58	10:25:58	10:25:58	10:25:58	10:25:58	10:25:58	10:25:58	10:26:00	10:26:00	10:26:00	10:26:00	10:26:00	10:26:00			10:26:01	10:26:01		00:00:00		00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
1	10:26:01	10:26:01	10:26:01	10:26:01	10:26:01	10:26:01	10:26:01	10:26:01	10:26:01	10:26:01	10:26:01	10:26:01	10:26:02	10:26:02	10:26:02	10:26:02	10:26:02	10:26:02			10:26:02	10:26:02		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
2	10:26:02	10:26:02	10:26:02	10:26:02	10:26:02	10:26:02			10:26:02	10:26:02	10:26:02	10:26:02	10:26:03	10:26:03	10:26:03	10:26:03	10:26:03	10:26:03			10:26:03	10:26:03		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
3	10:26:03	10:26:03	10:26:03	10:26:03	10:26:03	10:26:03			10:26:03	10:26:03	10:26:03	10:26:03	10:26:05	10:26:05	10:26:05	10:26:05	10:26:05	10:26:05			10:26:05	10:26:05		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
4	10:26:05	10:26:05	10:26:05	10:26:05	10:26:05	10:26:05			10:26:05	10:26:05	10:26:05	10:26:05	10:26:06	10:26:06	10:26:06	10:26:06	10:26:06	10:26:06			10:26:06	10:26:06		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
5	10:26:06	10:26:06	10:26:06	10:26:06	10:26:06	10:26:06			10:26:06	10:26:06	10:26:06	10:26:06	10:26:07	10:26:07	10:26:07	10:26:07	10:26:07	10:26:07			10:26:07	10:26:07		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
6	10:26:07	10:26:07	10:26:07	10:26:07	10:26:07	10:26:07			10:26:07	10:26:07	10:26:07	10:26:07	10:26:08	10:26:08	10:26:08	10:26:08	10:26:08	10:26:08			10:26:08	10:26:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
7	10:26:08	10:26:08	10:26:08	10:26:08	10:26:08	10:26:08			10:26:08	10:26:08	10:26:08	10:26:08	10:26:10	10:26:10	10:26:10	10:26:10	10:26:10	10:26:10			10:26:10	10:26:10		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
8	10:26:10	10:26:10	10:26:10	10:26:10	10:26:10	10:26:10			10:26:10	10:26:10	10:26:10	10:26:10	10:26:11	10:26:11	10:26:11	10:26:11	10:26:11	10:26:11			10:26:11	10:26:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
9	10:26:11	10:26:11	10:26:11	10:26:11	10:26:11	10:26:11			10:26:11	10:26:11	10:26:11	10:26:11	10:26:12	10:26:12	10:26:12	10:26:12	10:26:12	10:26:12			10:26:12	10:26:12		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
10	10:26:12	10:26:12	10:26:12	10:26:12	10:26:12	10:26:12			10:26:12	10:26:12	10:26:12	10:26:12	10:26:13	10:26:13	10:26:13	10:26:13	10:26:13	10:26:13	10:26:13	10:26:13	10:26:13	10:26:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01
